research_field_id,research_field_name,department_names,professor_names,laboratory_ids,laboratory_count,current_category_codes,category_code,category_name,mapping_action,classification_basis,confidence
600,"(2차원 그래핀, MoS2, organic )",물리천문학과,서순애,219,1,,ELECTRONIC_DEVICES,전자소자·센서·나노소재,ADD_MAPPING,그래핀·MoS2 등 2차원 나노 전자소재를 나열한 항목,LOW
591,2차원 물질 및 자성체,물리천문학과,노화용,215,1,,ELECTRONIC_DEVICES,전자소자·센서·나노소재,ADD_MAPPING,2차원 전자소재와 자성 기능성 소재 연구,MEDIUM
604,가스 동역학,물리천문학과,오세헌,223,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,기체의 운동과 상호작용을 다루는 기초 물리학,MEDIUM
619,격자게이지이론,물리천문학과,박성우,229,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,입자물리의 게이지장을 격자로 기술하는 이론,HIGH
563,고에너지 입자물리 및 핵물리,물리천문학과,김용선,204,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,고에너지 입자와 원자핵을 다루는 기초 물리학,HIGH
607,고에너지 핵물리학,물리천문학과,오새한슬,224,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,고에너지 영역의 원자핵 기초 물리학,HIGH
598,고체 물리 실험,물리천문학과,서순애,219,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,고체의 물성을 실험하는 응집물질 기초 물리학,HIGH
573,공생별,물리천문학과,이희원,209,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,상호작용 쌍성계인 공생별 천체 연구,HIGH
628,광전소자,물리천문학과,Dastgeer GHULAM,232,1,,PHOTONICS_OPTICS,광학·포토닉스,ADD_MAPPING,빛의 발생·검출·변환에 쓰이는 광전자 소자,HIGH
592,광학,물리천문학과,최희진,216,1,,PHOTONICS_OPTICS,광학·포토닉스,ADD_MAPPING,빛의 성질과 응용을 다루는 광학 분야,HIGH
613,광학 분광법,물리천문학과,Dietrich Wulferding,227,1,,PHOTONICS_OPTICS,광학·포토닉스,ADD_MAPPING,빛의 스펙트럼을 이용한 광학 분석 기술,HIGH
578,구상성단 다중종족,물리천문학과,이재우,211,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,구상성단 내부의 복수 항성종족 천문 연구,HIGH
567,그래핀,물리천문학과,홍석륜,208,1,,ELECTRONIC_DEVICES,전자소자·센서·나노소재,ADD_MAPPING,대표적인 2차원 나노 전자소재,MEDIUM
596,나노물리학 이론,물리천문학과,김건,217,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,나노 규모 물질 현상을 다루는 기초 이론물리,HIGH
599,나노전자 소자,물리천문학과,서순애,219,1,,ELECTRONIC_DEVICES,전자소자·센서·나노소재,ADD_MAPPING,나노 규모 기능성 전자소자 연구,HIGH
597,"나노전자소재연구실-고체물리실험 (그래핀, 탄소나노튜브, VO2 등의 나노소재 합성 및 응용)",물리천문학과,김근수,218,1,,ELECTRONIC_DEVICES,전자소자·센서·나노소재,ADD_MAPPING,연구실명과 설명이 결합됐지만 나노 전자소재 합성·응용이 중심,LOW
626,마이크로&나노 소자,물리천문학과,Dastgeer GHULAM,232,1,,ELECTRONIC_DEVICES,전자소자·센서·나노소재,ADD_MAPPING,마이크로·나노 규모 기능성 전자소자,MEDIUM
625,반도체 재료,물리천문학과,Dastgeer GHULAM,232,1,,SEMICONDUCTOR_HW,반도체·집적회로·컴퓨팅하드웨어,ADD_MAPPING,반도체 소자 제작에 쓰이는 재료 연구,HIGH
570,반도체 표면,물리천문학과,홍석륜,208,1,,SEMICONDUCTOR_HW,반도체·집적회로·컴퓨팅하드웨어,ADD_MAPPING,반도체 표면의 물성과 공정 관련 연구,HIGH
585,성간물질,물리천문학과,김성은,214,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,별 사이 공간의 가스와 먼지를 다루는 천문학,HIGH
629,센서,물리천문학과,Dastgeer GHULAM,232,1,,ELECTRONIC_DEVICES,전자소자·센서·나노소재,ADD_MAPPING,구체적 센서 종류가 없는 기능성 전자소자 항목,LOW
588,수냐예프-젤도비치 효과,물리천문학과,김성은,214,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,우주배경복사와 은하단의 상호작용을 다루는 우주론,HIGH
590,스핀트로닉스 및 스핀칼로리트로닉스,물리천문학과,노화용,215,1,,ELECTRONIC_DEVICES,전자소자·센서·나노소재,ADD_MAPPING,전자 스핀과 열을 활용하는 기능성 전자소자 분야,HIGH
594,시감 특성,물리천문학과,최희진,216,1,,HCI_XR,HCI·XR·인터랙티브미디어,ADD_MAPPING,사람의 시각 지각 특성으로 해석되는 인간중심 항목,LOW
603,실험입자물리,물리천문학과,Hyunsoo Kim,222,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,기본 입자를 실험으로 연구하는 고에너지 물리학,HIGH
605,암흑 물질,물리천문학과,오세헌,223,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,우주론과 입자물리의 암흑물질 연구,HIGH
611,양자 소자,물리천문학과,김경호,226,1,,QUANTUM_TECH,양자정보·양자기술,ADD_MAPPING,양자 상태와 현상을 활용하는 소자 기술,HIGH
608,양자 정보 기술 실험,물리천문학과,김경호,226,1,,QUANTUM_TECH,양자정보·양자기술,ADD_MAPPING,양자정보 기술의 실험적 구현,HIGH
571,양자광원,물리천문학과,홍석륜,208,1,,QUANTUM_TECH,양자정보·양자기술,ADD_MAPPING,양자정보·양자광학용 비고전 광원,HIGH
612,양자물질,물리천문학과,Dietrich Wulferding,227,1,,QUANTUM_TECH,양자정보·양자기술,ADD_MAPPING,양자 효과가 지배하는 물질과 양자기술 연구,HIGH
615,양자오류정정,물리천문학과,권혁건,228,1,,QUANTUM_TECH,양자정보·양자기술,ADD_MAPPING,양자정보 처리의 오류 검출·복구 기술,HIGH
614,양자정보이론-양자센싱,물리천문학과,권혁건,228,1,,QUANTUM_TECH,양자정보·양자기술,ADD_MAPPING,양자정보 이론과 양자센싱 기술,HIGH
616,양자학습이론,물리천문학과,권혁건,228,1,,QUANTUM_TECH,양자정보·양자기술,ADD_MAPPING,양자계의 학습과 양자정보 이론,HIGH
586,외부은하,물리천문학과,"김성은, 오세헌","214,223",2,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,우리은하 밖의 은하를 연구하는 은하천문학,HIGH
601,우주 거대 구조,물리천문학과,Graziano Rossi,221,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,우주의 대규모 물질 분포와 구조 형성 연구,HIGH
621,우주 거대구조,물리천문학과,Benjamin Pierre Emmanuel L’HUILLIER,231,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,우주의 대규모 물질 분포와 구조 형성 연구,HIGH
583,우주론,물리천문학과,"Benjamin Pierre Emmanuel L’HUILLIER, Graziano Rossi, 채규현","212,221,231",3,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,우주의 기원·진화·구조를 연구하는 우주론,HIGH
692,우주론적 QUOKKAS 퀘이사 관측,물리천문학과,HODGSON JEFFREY ADAM,230,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,퀘이사를 이용한 관측 우주론 연구,HIGH
582,은하구조 및 역학,물리천문학과,채규현,212,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,은하의 구조와 중력 동역학을 다루는 천문학,HIGH
622,은하의 형성 및 진화,물리천문학과,Benjamin Pierre Emmanuel L’HUILLIER,231,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,은하 형성과 시간에 따른 진화 연구,HIGH
579,은하의 형성과 진화,물리천문학과,이재우,211,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,은하 형성과 시간에 따른 진화 연구,HIGH
624,응집물질 물리학,물리천문학과,Dastgeer GHULAM,232,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,고체·액체 등 다입자 물질의 기초 물리학,HIGH
564,"응집물질물리 이론(나노 자성체, 초전도체)",물리천문학과,김광희,205,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,나노 자성체와 초전도체를 다루는 응집물질 이론,HIGH
595,응집물질물리학 이론,물리천문학과,김건,217,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,응집된 다입자 물질의 이론 기초 물리학,HIGH
584,이론 생물물리학 연체계물리학 통계물리,물리천문학과,이남경,213,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,생물·연성계 현상을 통계물리로 다루는 기초 물리학,MEDIUM
617,입자물리,물리천문학과,박성우,229,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,기본 입자와 상호작용을 다루는 기초 물리학,HIGH
565,입자물리 이론/강한상호작용/격자게이지 이론,물리천문학과,김세용,206,1,,PHYSICS_ASTRONOMY,물리·천문,ADD_MAPPING,강한 상호작용과 격자 게이지를 다루는 입자물리 이론,HIGH
