research_field_name,laboratory_count,laboratory_ids,department_names,laboratory_names,category_code,category_name,classification_basis,confidence,review_status
3D,1,185,콘텐츠소프트웨어학과,백경준 교수님 연구실,HCI_XR,HCI·XR·인터랙티브미디어,생성형 3D 콘텐츠·그래픽 연구,MEDIUM,APPROVED
3D 오디오,1,12,컴퓨터공학과,박우찬 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,공간 오디오 처리 분야,HIGH,APPROVED
3D Imaging System,1,48,AI융합전자공학과,김태근 교수님 연구실,PHOTONICS_OPTICS,광학·포토닉스,홀로그래피 기반 3D 광학 영상,HIGH,APPROVED
5G/6G 모바일 통신 및 센싱,1,19,컴퓨터공학과,김문석 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,차세대 이동통신·센싱 연구,HIGH,APPROVED
5G/6G 시스템,1,72,정보보호학과,송재승 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,차세대 이동통신 시스템,HIGH,APPROVED
6G 통신,1,170,지능정보융합학과,신철규 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,6G 무선통신 연구,HIGH,APPROVED
360 VR System,1,51,AI융합전자공학과,한종기 교수님 연구실,HCI_XR,HCI·XR·인터랙티브미디어,360도 가상현실 시스템,HIGH,APPROVED
가상/증강/혼합현실,1,179,콘텐츠소프트웨어학과,송오영 교수님 연구실,HCI_XR,HCI·XR·인터랙티브미디어,VR·AR·MR 확장현실 연구,HIGH,APPROVED
가상센서,1,148,인공지능데이터사이언스학과,신승협 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,기계 시스템 상태 추정용 가상센서,MEDIUM,APPROVED
가상현실,2,9|178,컴퓨터공학과|콘텐츠소프트웨어학과,이종원 교수님 연구실|최수미 교수님 연구실,HCI_XR,HCI·XR·인터랙티브미디어,가상현실·인간컴퓨터상호작용,HIGH,APPROVED
가상화,1,10,컴퓨터공학과,노재춘 교수님 연구실,SOFTWARE_COMPUTING,소프트웨어·컴퓨팅시스템,클라우드 컴퓨팅 가상화 기술,HIGH,APPROVED
가시광 통신,1,67,AI융합전자공학과,SEJAN MOHAMMAD ABRAR SHAKIL 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,가시광 기반 무선통신,HIGH,APPROVED
감정인식,1,176,콘텐츠소프트웨어학과,권순일 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,음성 기반 감정 신호 인식,HIGH,APPROVED
강인 제어,1,172,지능정보융합학과,이석영 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,외란에 강인한 제어 이론,HIGH,APPROVED
강인 제어 및 외란 관측기,1,93,AI로봇학과,이찬화 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,강인 제어와 외란 상태 관측,HIGH,APPROVED
강화학습,1,148,인공지능데이터사이언스학과,신승협 교수님 연구실,AI_ML,인공지능·기계학습,범용 강화학습 방법론,HIGH,APPROVED
강화학습기반 자율협력주행시스템,1,150,인공지능데이터사이언스학과,이동훈 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,강화학습 기반 자율협력주행,HIGH,APPROVED
거대 인공지능 모델,1,142,인공지능데이터사이언스학과,구영현 교수님 연구실,AI_ML,인공지능·기계학습,응용 문맥과 무관하게 거대 AI 모델 자체를 연구,HIGH,APPROVED
검파및추정,1,39,AI융합전자공학과,배진수 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,확률적 검파·상태 추정 방법론,MEDIUM,APPROVED
결정질 실리콘 태양전지,1,53,AI융합전자공학과,김정 교수님 연구실,ENERGY_ENVIRONMENT,에너지·환경·기후,태양광 에너지 변환 소자,HIGH,APPROVED
결함 내성 시스템,1,2,컴퓨터공학과,박태순 교수님 연구실,SOFTWARE_COMPUTING,소프트웨어·컴퓨팅시스템,분산 컴퓨팅 시스템 신뢰성,HIGH,APPROVED
경로 계획 및 장애물 회피,1,105,AI로봇학과,MAI The Vu 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,로봇 자율경로 계획과 회피,HIGH,APPROVED
"고속 데이터센터 연결망 (high-speed data center interconnect, DCI)",1,189,양자지능정보학과,배성현 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,데이터센터 고속 연결 네트워크,HIGH,APPROVED
고속 디지털 시스템,1,118,반도체시스템공학과,김영우 교수님 연구실,SEMICONDUCTOR_HW,반도체·집적회로·컴퓨팅하드웨어,반도체 패키지 기반 고속 하드웨어,HIGH,APPROVED
고속 알고리즘,1,36,컴퓨터공학과,김도년 교수님 연구실,SIGNAL_MEDIA,신호·영상·미디어처리,비디오 코딩·영상처리 고속화,MEDIUM,APPROVED
고장 감지 및 배제 알고리즘,2,112|159,인공지능데이터사이언스학과|AI로봇학과,김용훈 교수님 연구실|Hussain Dildar 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,항법 시스템 고장 상태 추정,MEDIUM,APPROVED
고장진단 및 수명예측,1,148,인공지능데이터사이언스학과,신승협 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,기계 시스템 진단·예지 제어,HIGH,APPROVED
공간 데이터 분석,1,22,컴퓨터공학과,Abolghasem Sadeghi-Niaraki 교수님 연구실,DATA_INFORMATION,데이터과학·정보관리,GIS·지리공간 데이터 분석,HIGH,APPROVED
공력·CFD 기반 성능최적화,1,103,AI로봇학과,손찬규 교수님 연구실,INDUSTRIAL_MOBILITY,산업·모빌리티·스마트인프라,UAV·UAM 공력 설계 최적화,HIGH,APPROVED
공정 시스템 공학 (Process Systems Engineering),1,31,컴퓨터공학과,Abdulrahman Hussein Abdullah Ba Alawi 교수님 연구실,CONTROL_SYSTEMS,제어·추정·시스템공학,공정 모델링·최적화 시스템 공학,HIGH,APPROVED
공중 관성항법 시스템,2,112|159,인공지능데이터사이언스학과|AI로봇학과,김용훈 교수님 연구실|Hussain Dildar 교수님 연구실,ROBOT_AUTONOMOUS,로봇·자율시스템,드론·무인이동체 관성항법,HIGH,APPROVED
공진기 및 필터,1,34,컴퓨터공학과,Rajendra Dhakal 교수님 연구실,ELECTRONIC_DEVICES,전자소자·센서·나노소재,RF 회로용 공진기·필터 소자,HIGH,APPROVED
광대역통신,1,52,AI융합전자공학과,김아정 교수님 연구실,COMM_NETWORK,통신·네트워크·IoT,광대역 통신 기술,HIGH,APPROVED
광도파로,1,56,AI융합전자공학과,김경염 교수님 연구실,PHOTONICS_OPTICS,광학·포토닉스,광 신호 전송 도파로,HIGH,APPROVED
광반도체 소자 반도체물리연구 미소링 공진기,1,50,AI융합전자공학과,현경숙 교수님 연구실,PHOTONICS_OPTICS,광학·포토닉스,광반도체·미소링 광소자,HIGH,APPROVED
